id,khach_hang_id,mon_id,so_luong,ngay_dat,trang_thai
90,40,3,4,2025-09-12,Đã hủy
91,68,55,6,2025-08-25,Đang xử lý
92,80,7,3,2025-09-29,Hoàn thành
93,98,100,8,2025-10-02,Đã hủy
94,33,71,9,2025-09-18,Đang xử lý
95,36,40,7,2025-09-05,Hoàn thành
96,73,26,5,2025-11-12,Đã hủy
97,59,9,10,2025-11-05,Đang xử lý
98,100,13,7,2025-09-18,Hoàn thành
99,16,2,5,2025-10-20,Đã hủy
100,79,88,9,2025-08-28,Đang xử lý
101,64,80,1,2025-11-11,Hoàn thành
102,68,94,1,2025-11-02,Đã hủy
103,22,9,5,2025-11-02,Đang xử lý
104,51,6,2,2025-10-22,Hoàn thành
105,78,97,2,2025-10-31,Đã hủy
106,93,19,4,2025-10-22,Đang xử lý
107,98,5,5,2025-10-18,Hoàn thành
108,62,78,3,2025-10-27,Đã hủy
109,81,100,5,2025-10-18,Đang xử lý
110,12,45,3,2025-10-21,Hoàn thành
111,50,85,2,2025-10-30,Đã hủy
112,85,92,2,2025-10-21,Đang xử lý
113,69,11,5,2025-10-29,Hoàn thành
114,64,24,4,2025-11-14,Đã hủy
115,20,47,3,2025-10-22,Đang xử lý
116,101,69,2,2025-10-23,Hoàn thành
117,21,33,4,2025-11-03,Đã hủy
118,85,59,4,2025-10-22,Đang xử lý
119,30,78,2,2025-10-30,Hoàn thành
120,24,4,5,2025-11-01,Đã hủy
121,94,64,1,2025-10-19,Đang xử lý
122,89,43,2,2025-10-27,Hoàn thành
123,14,34,4,2025-10-31,Đã hủy
124,55,71,2,2025-10-21,Đang xử lý
125,51,24,4,2025-10-26,Hoàn thành
126,67,43,5,2025-10-21,Đã hủy
127,63,69,3,2025-11-08,Đang xử lý
128,90,83,1,2025-10-21,Hoàn thành
129,69,74,4,2025-10-25,Đã hủy
130,83,59,4,2025-10-22,Đang xử lý
131,12,74,1,2025-11-07,Hoàn thành
132,70,11,4,2025-11-14,Đã hủy
133,80,100,4,2025-11-04,Đang xử lý
134,91,17,5,2025-10-19,Hoàn thành
135,16,5,5,2025-11-03,Đã hủy
136,73,42,1,2025-11-14,Đang xử lý
137,90,41,2,2025-10-25,Hoàn thành
138,97,38,5,2025-10-23,Đã hủy
139,79,48,3,2025-11-08,Đang xử lý
140,99,16,4,2025-11-13,Hoàn thành
141,6,81,2,2025-10-30,Đã hủy
142,65,22,4,2025-10-18,Đang xử lý
143,39,28,5,2025-11-11,Hoàn thành
144,43,95,5,2025-11-11,Đã hủy
145,79,99,2,2025-11-06,Đang xử lý
146,100,20,2,2025-11-05,Hoàn thành
147,86,2,4,2025-11-13,Đã hủy
148,12,91,2,2025-11-03,Đang xử lý
149,77,9,3,2025-11-03,Hoàn thành
150,55,87,1,2025-10-25,Đã hủy
155,6,5,1,2025-11-14,đang xử lý
158,9,8,999,2025-11-14,Đang xử lý
160,11,10,1,2025-11-19,Đang xử lý
161,12,11,1,2000-01-01,Hoàn thành
162,13,12,1,2025-11-14,  Đang xử lý  
166,17,16,1,2025-11-14,ĐANG XỬ LÝ
170,21,20,1,2025-11-15,Hoàn thành
