id,ten_nguyen_lieu,so_luong,don_vi,nha_cung_cap,_source,_extract_time,_run_id
35,Nguyên liệu 35,132,kg,Công ty I,sql,2025-12-10T03:00:52.740254,20251210_030051
36,Nguyên liệu 36,32,g,Công ty J,sql,2025-12-10T03:00:52.741248,20251210_030051
37,Nguyên liệu 37,37,chai,Công ty K,sql,2025-12-10T03:00:52.741248,20251210_030051
38,Nguyên liệu 38,164,lọ,Công ty L,sql,2025-12-10T03:00:52.741248,20251210_030051
39,Nguyên liệu 39,185,bó,Công ty M,sql,2025-12-10T03:00:52.741248,20251210_030051
40,Nguyên liệu 40,69,kg,Công ty N,sql,2025-12-10T03:00:52.741248,20251210_030051
41,Nguyên liệu 41,170,g,Công ty O,sql,2025-12-10T03:00:52.741248,20251210_030051
42,Nguyên liệu 42,123,chai,Công ty P,sql,2025-12-10T03:00:52.741248,20251210_030051
43,Nguyên liệu 43,209,lọ,Công ty Q,sql,2025-12-10T03:00:52.741248,20251210_030051
44,Nguyên liệu 44,114,bó,Công ty R,sql,2025-12-10T03:00:52.742248,20251210_030051
45,Nguyên liệu 45,207,kg,Công ty S,sql,2025-12-10T03:00:52.742248,20251210_030051
46,Nguyên liệu 46,209,g,Công ty T,sql,2025-12-10T03:00:52.742248,20251210_030051
47,Nguyên liệu 47,119,chai,Công ty U,sql,2025-12-10T03:00:52.742248,20251210_030051
48,Nguyên liệu 48,184,lọ,Công ty V,sql,2025-12-10T03:00:52.742248,20251210_030051
49,Nguyên liệu 49,140,bó,Công ty W,sql,2025-12-10T03:00:52.742248,20251210_030051
50,Nguyên liệu 50,154,kg,Công ty X,sql,2025-12-10T03:00:52.742248,20251210_030051
51,Nguyên liệu 51,204,g,Công ty Y,sql,2025-12-10T03:00:52.742248,20251210_030051
52,Nguyên liệu 52,138,chai,Công ty @,sql,2025-12-10T03:00:52.743249,20251210_030051
53,Nguyên liệu 53,160,lọ,Công ty A,sql,2025-12-10T03:00:52.743249,20251210_030051
54,Nguyên liệu 54,157,bó,Công ty B,sql,2025-12-10T03:00:52.743249,20251210_030051
55,Nguyên liệu 55,98,kg,Công ty C,sql,2025-12-10T03:00:52.743249,20251210_030051
56,Nguyên liệu 56,100,g,Công ty D,sql,2025-12-10T03:00:52.743249,20251210_030051
57,Nguyên liệu 57,64,chai,Công ty E,sql,2025-12-10T03:00:52.744255,20251210_030051
58,Nguyên liệu 58,65,lọ,Công ty F,sql,2025-12-10T03:00:52.744255,20251210_030051
59,Nguyên liệu 59,26,bó,Công ty G,sql,2025-12-10T03:00:52.744255,20251210_030051
60,Nguyên liệu 60,40,kg,Công ty H,sql,2025-12-10T03:00:52.744255,20251210_030051
61,Nguyên liệu 61,116,g,Công ty I,sql,2025-12-10T03:00:52.745254,20251210_030051
62,Nguyên liệu 62,31,chai,Công ty J,sql,2025-12-10T03:00:52.745254,20251210_030051
63,Nguyên liệu 63,175,lọ,Công ty K,sql,2025-12-10T03:00:52.745254,20251210_030051
64,Nguyên liệu 64,193,bó,Công ty L,sql,2025-12-10T03:00:52.745254,20251210_030051
65,Nguyên liệu 65,55,kg,Công ty M,sql,2025-12-10T03:00:52.746252,20251210_030051
66,Nguyên liệu 66,71,g,Công ty N,sql,2025-12-10T03:00:52.746252,20251210_030051
67,Nguyên liệu 67,126,chai,Công ty O,sql,2025-12-10T03:00:52.746252,20251210_030051
68,Nguyên liệu 68,130,lọ,Công ty P,sql,2025-12-10T03:00:52.746252,20251210_030051
69,Nguyên liệu 69,93,bó,Công ty Q,sql,2025-12-10T03:00:52.747253,20251210_030051
70,Nguyên liệu 70,22,kg,Công ty R,sql,2025-12-10T03:00:52.747253,20251210_030051
71,Nguyên liệu 71,125,g,Công ty S,sql,2025-12-10T03:00:52.747253,20251210_030051
72,Nguyên liệu 72,32,chai,Công ty T,sql,2025-12-10T03:00:52.747253,20251210_030051
73,Nguyên liệu 73,80,lọ,Công ty U,sql,2025-12-10T03:00:52.748249,20251210_030051
74,Nguyên liệu 74,162,bó,Công ty V,sql,2025-12-10T03:00:52.748249,20251210_030051
75,Nguyên liệu 75,185,kg,Công ty W,sql,2025-12-10T03:00:52.748249,20251210_030051
76,Nguyên liệu 76,87,g,Công ty X,sql,2025-12-10T03:00:52.748736,20251210_030051
77,Nguyên liệu 77,181,chai,Công ty Y,sql,2025-12-10T03:00:52.748736,20251210_030051
78,Nguyên liệu 78,161,lọ,Công ty @,sql,2025-12-10T03:00:52.748736,20251210_030051
79,Nguyên liệu 79,145,bó,Công ty A,sql,2025-12-10T03:00:52.748736,20251210_030051
80,Nguyên liệu 80,26,kg,Công ty B,sql,2025-12-10T03:00:52.748736,20251210_030051
81,Nguyên liệu 81,47,g,Công ty C,sql,2025-12-10T03:00:52.748736,20251210_030051
82,Nguyên liệu 82,173,chai,Công ty D,sql,2025-12-10T03:00:52.749801,20251210_030051
83,Nguyên liệu 83,114,lọ,Công ty E,sql,2025-12-10T03:00:52.749801,20251210_030051
84,Nguyên liệu 84,164,bó,Công ty F,sql,2025-12-10T03:00:52.749801,20251210_030051
85,Nguyên liệu 85,74,kg,Công ty G,sql,2025-12-10T03:00:52.749801,20251210_030051
86,Nguyên liệu 86,83,g,Công ty H,sql,2025-12-10T03:00:52.749801,20251210_030051
87,Nguyên liệu 87,33,chai,Công ty I,sql,2025-12-10T03:00:52.750802,20251210_030051
88,Nguyên liệu 88,60,lọ,Công ty J,sql,2025-12-10T03:00:52.750802,20251210_030051
89,Nguyên liệu 89,97,bó,Công ty K,sql,2025-12-10T03:00:52.750802,20251210_030051
90,Nguyên liệu 90,140,kg,Công ty L,sql,2025-12-10T03:00:52.750802,20251210_030051
91,Nguyên liệu 91,165,g,Công ty M,sql,2025-12-10T03:00:52.751798,20251210_030051
92,Nguyên liệu 92,122,chai,Công ty N,sql,2025-12-10T03:00:52.751798,20251210_030051
93,Nguyên liệu 93,196,lọ,Công ty O,sql,2025-12-10T03:00:52.751798,20251210_030051
94,Nguyên liệu 94,140,bó,Công ty P,sql,2025-12-10T03:00:52.751798,20251210_030051
95,Nguyên liệu 95,94,kg,Công ty Q,sql,2025-12-10T03:00:52.752798,20251210_030051
96,Nguyên liệu 96,170,g,Công ty R,sql,2025-12-10T03:00:52.752798,20251210_030051
97,Nguyên liệu 97,14,chai,Công ty S,sql,2025-12-10T03:00:52.752798,20251210_030051
98,Nguyên liệu 98,183,lọ,Công ty T,sql,2025-12-10T03:00:52.752798,20251210_030051
99,Nguyên liệu 99,195,bó,Công ty U,sql,2025-12-10T03:00:52.752798,20251210_030051
100,Nguyên liệu 100,138,kg,Công ty V,sql,2025-12-10T03:00:52.753797,20251210_030051
101,Nguyên liệu @@,50,kg,Công ty A,sql,2025-12-10T03:00:52.753797,20251210_030051
102,NL lỗi 1,-10,kg,Công ty B,sql,2025-12-10T03:00:52.753797,20251210_030051
103,NL lỗi 2,20,lít,Công ty C,sql,2025-12-10T03:00:52.753797,20251210_030051
104,,30,g,Công ty D,sql,2025-12-10T03:00:52.753797,20251210_030051
105,Nguyen lieu so,0,,Công ty E,sql,2025-12-10T03:00:52.754797,20251210_030051
106,Nguyen lieu null,,kg,Công ty F,sql,2025-12-10T03:00:52.754797,20251210_030051
107,Nguyên liệu 123,100,g,Công ty G,sql,2025-12-10T03:00:52.754797,20251210_030051
